Breed,Weight,Height,Price,Lifespan,GoodWithKids,Trainability,Intelligence,Adaptability,CatFriendly,DogFriendly,Shedding,Hypoallergenic,Watchdog
"Pit Bull Mix",65,22,700,14,2,2,3,5,1,1,1,False,5
"Chihuahua Shorthair Mix",6,10,800,18,1,3,3,5,5,3,1,False,4
"Labrador Retriever Mix",79,25,1000,13,5,5,5,5,4,5,3,False,3
"German Shepherd Mix",88,26,1500,10,5,5,5,5,3,2,5,False,5
"Australian Cattle Dog Mix",35,20,600,15,5,5,5,3,3,3,3,False,5
"Dachshund Mix",32,9,600,15,2,2,4,5,3,2,1,False,5
"Miniature Poodle Mix",10,60,1500,15,2,5,5,5,4,4,1,True,5
"Boxer Mix",59,24,1200,12,3,3,4,4,3,2,3,False,5
"Border Collie Mix",44,22,700,16,5,5,5,5,3,3,3,False,5
"Australian Shepherd Mix",68,23,600,15,5,5,4,5,3,3,3,False,5
"Rat Terrier Mix",25,18,500,18,5,5,4,5,4,4,3,False,5
"Catahoula Mix",81,23,550,14,3,3,4,3,3,2,3,False,5
"Yorkshire Terrier Mix",8,9,700,16,1,3,4,5,4,2,3,True,4
"Jack Russell Terrier Mix",17,14,1000,16,3,5,5,5,1,1,3,False,5
"Miniature Schnauzer Mix",20,14,1000,15,3,5,5,5,3,3,1,True,5
"Siberian Husky Mix",60,23,1000,15,5,1,4,5,1,5,5,False,1
"Chihuahua Longhair Mix",6,10,800,18,1,3,3,5,5,3,1,False,4
"Beagle Mix",25,16,800,15,5,2,4,5,3,5,3,False,1
"Rottweiler Mix",129,27,2000,10,2,3,5,3,3,1,3,False,5
"American Bulldog Mix",120,71,900,14,3,3,3,3,3,3,3,False,3
"Shih Tzu Mix",16,28,1200,15,2,3,3,5,5,5,1,True,4
"Chihuahua Shorthair/Dachshund",19,9,700,16,1,2,3,5,4,2,1,False,4
"Cairn Terrier Mix",17,13,1000,15,4,3,4,3,3,3,3,True,5
"Australian Kelpie Mix",46,20,600,14,3,5,4,5,3,3,3,False,5
"Great Pyrenees Mix",118,32,900,12,4,2,4,4,4,3,5,False,5
"Staffordshire Mix",35,41,1800,14,3,2,4,3,1,2,3,False,3
"American Staffordshire Terrier Mix",88,18,900,12,2,2,3,5,1,1,1,False,5
"Pointer Mix",75,28,250,15,5,3,4,5,1,5,3,False,5
"Chihuahua Shorthair",6,10,800,18,1,3,3,5,5,3,1,False,4
"Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False,3
"Labrador Retriever/Pit Bull",72,23,850,13,3,3,4,5,2,3,2,False,4
"Plott Hound Mix",55,58,300,14,4,3,4,3,2,3,3,False,5
"Dachshund/Chihuahua Shorthair",19,9,700,16,1,2,3,5,4,2,1,False,4
"Pit Bull",65,22,700,14,2,2,3,5,1,1,1,False,5
"Black Mouth Cur Mix",95,25,350,16,3,3,3,3,3,3,3,False,3
"Miniature Pinscher Mix",11,28,600,15,3,4,5,4,3,2,2,False,4
"Anatol Shepherd Mix",121,31,900,15,3,2,3,2,2,1,3,False,5
"German Shepherd",88,26,1500,10,5,5,5,5,3,2,5,False,5
"German Shepherd/Labrador Retriever",83,25,1250,11,5,5,5,5,3,3,4,False,4
"American Pit Bull Terrier Mix",65,22,700,14,2,2,3,5,1,1,1,False,5
"Golden Retriever Mix",63,23,2000,13,5,5,5,5,4,5,3,False,3
"Labrador Retriever/German Shepherd",83,25,1250,11,5,5,5,5,3,3,4,False,4
"Chow Chow Mix",70,22,1200,15,2,2,3,2,2,1,5,False,3
"Queensland Heeler Mix",35,20,600,15,5,5,5,3,3,3,3,False,5
"Shih Tzu",16,28,1200,15,2,3,3,5,5,5,1,True,4
"Cardigan Welsh Corgi Mix",33,13,1200,15,5,5,5,5,5,3,5,False,5
"Maltese Mix",8,10,800,15,1,3,3,5,5,5,1,True,4
"Dachshund",32,9,600,15,2,2,4,5,3,2,1,False,5
"Pug Mix",17,28,400,15,4,3,4,5,5,5,3,False,4
"Lhasa Apso Mix",15,28,600,14,5,3,3,5,5,5,4,False,3
"Manchester Terrier Mix",22,42,650,16,3,3,4,5,3,3,3,False,5
"Pomeranian Mix",7,12,800,16,1,3,3,5,5,3,2,False,2
"Doberman Pinsch Mix",99,14,1000,14,4,5,5,5,3,2,3,False,5
"Basset Hound Mix",75,15,500,12,5,3,3,5,5,5,3,False,1
"Cocker Spaniel Mix",30,16,800,15,5,3,4,5,3,5,3,False,3
"Blue Lacy Mix",45,21,950,14,3,3,3,3,3,3,3,False,3
"Boston Terrier Mix",25,17,800,15,5,3,3,5,5,5,2,False,3
"Toy Poodle Mix",10,60,1500,15,2,5,5,5,4,4,1,True,5
"Rottweiler",129,27,2000,10,2,3,5,3,3,1,3,False,5
"Flat Coat Retriever Mix",70,23,1000,10,4,5,5,5,3,4,3,False,5
"Miniature Schnauzer/Miniature Poodle",15,37,1250,15,2,5,5,5,3,3,1,True,5
"Carolina Dog Mix",65,24,950,15,3,3,3,3,3,3,3,False,3
"Border Terrier Mix",15,16,1000,15,5,5,4,5,2,2,1,True,5
"Boxer",59,24,1200,12,3,3,4,4,3,2,3,False,5
"Labrador Retriever/Border Collie",61,23,850,14,5,5,5,5,3,4,3,False,4
"Border Collie/Labrador Retriever",61,23,850,14,5,5,5,5,3,4,3,False,4
"Australian Cattle Dog/Labrador Retriever",57,22,800,14,5,5,5,4,3,4,3,False,4
"Siberian Husky",60,23,1000,15,5,1,4,5,1,5,5,False,1
"Dachshund Longhair Mix",32,9,600,15,2,2,4,5,3,2,1,False,5
"Pit Bull/Labrador Retriever",72,23,850,13,3,3,4,5,2,3,2,False,4
"Australian Cattle Dog",35,20,600,15,5,5,5,3,3,3,3,False,5
"Bull Terrier Mix",85,55,1500,14,3,2,4,4,2,2,3,False,5
"Chinese Sharpei Mix",52,51,1500,11,1,3,4,3,3,2,2,False,3
"Labrador Retriever/Australian Cattle Dog",57,22,800,14,5,5,5,4,3,4,3,False,4
"Chihuahua Shorthair/Rat Terrier",15,14,650,18,3,4,3,5,4,3,2,False,4
"Collie Smooth Mix",75,61,1000,15,5,5,4,4,5,5,5,False,5
"Dachshund Wirehair Mix",32,9,600,15,2,2,4,5,3,2,1,False,5
"Mastiff Mix",169,36,1500,12,5,3,3,5,5,3,3,False,5
"Maltese/Miniature Poodle",9,35,1150,15,1,4,4,5,4,4,1,True,4
"Chihuahua Shorthair/Jack Russell Terrier",11,12,900,17,2,4,4,5,3,2,2,False,4
"Rat Terrier/Chihuahua Shorthair",15,14,650,18,3,4,3,5,4,3,2,False,4
"Rhod Ridgeback Mix",85,66,1200,12,5,4,5,4,2,2,2,False,1
"English Bulldog Mix",80,60,2500,14,3,3,3,3,3,3,3,False,3
"Miniature Schnauzer",20,14,1000,15,3,5,5,5,3,3,1,True,5
"Pekingese Mix",14,9,600,15,1,2,3,5,5,3,3,False,4
"Labrador Retriever/Boxer",69,24,1100,12,4,4,4,4,3,3,3,False,4
"Norfolk Terrier Mix",12,10,2500,15,4,5,4,5,4,4,4,True,5
"Beagle",25,16,800,15,5,2,4,5,3,5,3,False,1
"Great Dane Mix",129,32,1200,12,3,3,3,3,3,3,3,False,5
"Redbone Hound Mix",68,68,800,12,5,3,3,5,2,5,1,False,1
"Yorkshire Terrier",8,9,700,16,1,3,4,5,4,2,3,True,4
"Black/Tan Hound Mix",49,21,600,14,3,3,3,3,3,3,3,False,2
"Chihuahua Shorthair/Pug",11,19,600,16,2,3,3,5,5,4,2,False,4
"Maltese",8,10,800,15,1,3,3,5,5,5,1,True,4
"Miniature Poodle",10,60,1500,15,2,5,5,5,4,4,1,True,5
"Pug",17,28,400,15,4,3,4,5,5,5,3,False,4
"Soft Coated Wheaten Terrier Mix",39,48,900,15,4,4,4,5,3,4,2,True,5
"Whippet Mix",30,56,1200,15,3,3,3,4,1,3,2,True,1
"Boxer/Pit Bull",62,23,950,13,2,2,3,4,2,1,2,False,5
"Bruss Griffon Mix",11,20,800,15,1,2,5,4,5,4,1,True,4
"Pembroke Welsh Corgi Mix",26,12,600,14,5,5,4,5,5,3,5,False,5
"Pit Bull/Boxer",62,23,950,13,2,2,3,4,2,1,2,False,5
"Belgian Malinois Mix",66,26,700,14,4,5,5,5,5,3,3,False,5
"Boxer/Labrador Retriever",69,24,1100,12,4,4,4,4,3,3,3,False,4
"Labrador Retriever/Australian Shepherd",73,24,800,14,5,5,4,5,3,4,3,False,4
"Cocker Spaniel",30,16,800,15,5,3,4,5,3,5,3,False,3
"Labrador Retriever/Chow Chow",74,23,1100,14,3,3,4,3,3,3,4,False,3
"Labrador Retriever/Great Pyrenees",98,28,950,12,4,3,4,4,4,4,4,False,4
"Shetland Sheepdog Mix",26,16,700,13,4,5,5,5,5,4,3,False,5
"Chihuahua Shorthair/Cardigan Welsh Corgi",19,11,1000,16,3,4,4,5,5,3,3,False,4
"German Shorthair Pointer Mix",59,25,600,14,4,5,4,5,1,4,4,False,3
"Parson Russell Terrier Mix",15,38,500,15,3,5,4,5,1,1,3,False,5
"Weimaraner Mix",77,63,800,12,5,5,5,5,5,5,3,False,3
"Border Collie",44,22,700,16,5,5,5,5,3,3,3,False,5
"Great Pyrenees",118,32,900,12,4,2,4,4,4,3,5,False,5
"Labrador Retriever/Pointer",77,26,625,14,5,4,4,5,2,5,3,False,4
"Rat Terrier",25,18,500,18,5,5,4,5,4,4,3,False,5
"Basset Hound",75,15,500,12,5,3,3,5,5,5,3,False,1
"Boston Terrier",25,17,800,15,5,3,3,5,5,5,2,False,3
"Dogo Argentino Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Jack Russell Terrier",17,14,1000,16,3,5,5,5,1,1,3,False,5
"Shiba Inu Mix",17,43,1000,15,3,2,3,4,2,3,3,False,5
"Doberman Pinsch",99,14,1000,14,4,5,5,5,3,2,3,False,5
"Miniature Poodle/Miniature Schnauzer",15,37,1250,15,2,5,5,5,3,3,1,True,5
"Bichon Frise Mix",20,12,600,15,3,3,4,5,5,5,1,True,3
"Cairn Terrier/Chihuahua Shorthair",11,11,900,16,2,3,3,4,4,3,2,False,4
"Harrier Mix",65,21,400,15,5,3,3,3,2,5,3,False,1
"Labrador Retriever/Beagle",52,20,900,14,5,3,4,5,3,5,3,False,2
"Labrador Retriever/Plott Hound",67,41,650,13,4,4,4,4,3,4,3,False,4
"Norwich Terrier Mix",12,25,1500,14,4,2,4,5,4,5,2,True,2
"Pug/Chihuahua Shorthair",11,19,600,16,2,3,3,5,5,4,2,False,4
"West Highland Mix",20,16,1200,16,4,4,4,4,3,4,1,True,5
"Beagle/Chihuahua Shorthair",15,13,800,16,3,2,3,5,4,4,2,False,2
"Akita Mix",99,26,1000,15,3,3,4,5,3,3,5,False,5
"American Staffordshire Terrier",88,18,900,12,2,2,3,5,1,1,1,False,5
"Australian Shepherd",68,23,600,15,5,5,4,5,3,3,3,False,5
"Australian Shepherd/Labrador Retriever",73,24,800,14,5,5,4,5,3,4,3,False,4
"Cardigan Welsh Corgi/Chihuahua Shorthair",19,11,1000,16,3,4,4,5,5,3,3,False,4
"Havanese Mix",13,11,1100,15,5,5,5,5,5,5,1,True,4
"Smooth Fox Terrier Mix",17,15,700,15,5,3,5,5,1,2,3,False,5
"Wire Hair Fox Terrier Mix",21,16,800,14,5,3,3,5,1,2,3,True,5
"Italian Greyhound Mix",15,15,700,15,1,2,3,5,3,3,2,True,4
"Miniature Pinscher",11,28,600,15,3,4,5,4,3,2,2,False,4
"Miniature Pinscher/Chihuahua Shorthair",8,19,700,16,2,3,4,4,4,2,1,False,4
"Papillon Mix",10,11,500,15,5,3,5,5,1,2,1,False,5
"Pharaoh Hound Mix",59,24,1300,14,4,2,4,5,2,4,1,False,1
"Pit Bull/Australian Cattle Dog",50,21,650,14,3,3,4,4,2,2,2,False,5
"Plott Hound/Labrador Retriever",67,41,650,13,4,4,4,4,3,4,3,False,4
